customer_id,first_name,last_name,email,phone,birth_date,city,country,postal_code,segment,registration_date,last_login,is_verified,accepts_marketing
1,Pedro,Fernández,pedro.fernández1@email.com,+1 855-934-2501,2005-01-26,Córdoba,Argentina,12469,Silver,2023-01-10,2024-07-10,true,0
2,Diego,López,diego.lópez2@email.com,+1 592-110-4122,1968-03-30,Tucumán,Argentina,28567,Platinum,2024-02-15,2024-07-02,true,1
3,Ana,Fernández,ana.fernández3@email.com,+1 645-895-5732,1986-11-19,Buenos Aires,Chile,37948,Bronze,2021-01-31,2022-08-04,true,1
4,Laura,Fernández,laura.fernández4@email.com,+1 724-383-4643,1998-01-20,Buenos Aires,México,71273,Silver,2021-10-22,2022-04-11,false,0
5,Lucía,Ramírez,lucía.ramírez5@email.com,+1 237-627-5106,1981-07-13,Mar del Plata,Argentina,37986,Silver,2022-08-08,2024-10-18,false,1
6,Lucas,López,lucas.lópez6@email.com,+1 521-510-6518,1965-02-02,Mendoza,Argentina,28800,Bronze,2020-06-09,2020-09-18,true,0
7,Juan,Sánchez,juan.sánchez7@email.com,+1 357-696-3958,1987-03-15,Buenos Aires,Argentina,70612,Platinum,2021-02-15,2023-10-20,true,1
8,Mateo,González,mateo.gonzález8@email.com,+1 401-783-4847,1964-07-05,Mendoza,Colombia,69822,Bronze,2020-10-30,2023-03-14,false,1
9,Lucas,López,lucas.lópez9@email.com,+1 421-762-8839,1976-06-28,Rosario,Colombia,52532,Gold,2023-09-04,2024-09-01,false,1
10,Camila,González,camila.gonzález10@email.com,+1 369-902-3292,1975-01-10,Rosario,Colombia,96513,Bronze,2022-01-13,2023-06-27,true,1
11,Pedro,Torres,pedro.torres11@email.com,+1 398-597-2580,1975-08-19,Córdoba,Argentina,43869,Silver,2024-05-29,2025-08-27,false,0
12,Martín,Torres,martín.torres12@email.com,+1 842-817-7595,1968-01-30,Mar del Plata,Perú,96439,Platinum,2020-09-23,2024-06-19,false,1
13,Mateo,González,mateo.gonzález13@email.com,+1 877-635-7176,1987-12-04,Mendoza,Argentina,31969,Platinum,2021-06-24,2024-04-21,true,1
14,Martín,Sánchez,martín.sánchez14@email.com,+1 356-357-3411,1971-10-15,Buenos Aires,Argentina,60105,Platinum,2023-10-30,2024-07-13,true,1
15,Mateo,García,mateo.garcía15@email.com,+1 494-288-7987,2003-05-25,La Plata,Argentina,46807,Bronze,2024-03-22,2024-12-28,false,0
16,Laura,Martínez,laura.martínez16@email.com,+1 679-860-1076,1989-03-12,Mar del Plata,Argentina,70866,Gold,2024-01-25,2024-12-13,true,1
17,Lucas,Pérez,lucas.pérez17@email.com,+1 769-591-4741,1974-01-24,Córdoba,Uruguay,31944,Gold,2020-01-02,2022-12-25,true,1
18,Sofía,García,sofía.garcía18@email.com,+1 649-232-3318,1992-05-27,Tucumán,Argentina,29763,Silver,2021-12-10,2024-05-05,true,0
19,Camila,Pérez,camila.pérez19@email.com,+1 762-244-4472,1968-07-08,Tucumán,Argentina,73251,Gold,2020-12-05,2024-05-10,true,1
20,Carlos,González,carlos.gonzález20@email.com,+1 254-627-1047,1975-09-19,Córdoba,Chile,67148,Gold,2024-04-26,2025-05-04,false,0
21,María,Rodríguez,maría.rodríguez21@email.com,+1 520-790-1484,1977-10-06,Neuquén,México,97934,Platinum,2023-09-04,2024-07-15,true,1
22,Ana,Pérez,ana.pérez22@email.com,+1 218-635-9814,1976-08-25,Tucumán,Perú,55086,Silver,2024-04-02,2024-04-07,true,1
23,Lucas,González,lucas.gonzález23@email.com,+1 659-726-1495,2002-08-14,La Plata,Argentina,17367,Gold,2023-11-17,2025-12-12,true,1
24,Sofía,Sánchez,sofía.sánchez24@email.com,+1 861-457-1991,1970-11-08,Buenos Aires,Chile,85730,Gold,2020-04-14,2024-11-19,true,1
25,Ana,García,ana.garcía25@email.com,+1 312-869-4394,1974-06-23,Rosario,Argentina,96207,Silver,2022-06-30,2023-05-23,true,0
26,Lucas,Pérez,lucas.pérez26@email.com,+1 498-908-6633,1978-04-22,Salta,Perú,78242,Silver,2023-03-02,2023-04-09,true,0
27,Martín,Martínez,martín.martínez27@email.com,+1 624-852-1001,2003-06-10,Mar del Plata,Colombia,52728,Silver,2024-03-25,2024-06-17,true,1
28,María,Ramírez,maría.ramírez28@email.com,+1 216-631-1591,1966-08-09,Buenos Aires,Uruguay,23689,Gold,2021-08-21,2021-10-18,true,1
29,María,Martínez,maría.martínez29@email.com,+1 771-194-5411,1986-09-09,Tucumán,Argentina,21763,Gold,2021-11-25,2025-05-31,true,0
30,Ana,Rodríguez,ana.rodríguez30@email.com,+1 795-116-8168,1967-05-09,Santa Fe,Colombia,62898,Gold,2022-09-11,2025-09-11,true,1
31,Gabriel,Fernández,gabriel.fernández31@email.com,+1 758-849-4042,1968-06-22,Santa Fe,Perú,90454,Bronze,2023-06-14,2024-02-09,false,1
32,Pedro,Pérez,pedro.pérez32@email.com,+1 258-141-1035,1965-09-19,Salta,Colombia,21333,Platinum,2020-08-11,2023-05-03,true,1
33,Sofía,Rodríguez,sofía.rodríguez33@email.com,+1 504-591-7329,1974-10-22,Tucumán,México,79090,Bronze,2021-12-01,2023-12-13,true,1
34,Mateo,González,mateo.gonzález34@email.com,+1 354-864-4617,1968-09-25,Buenos Aires,Uruguay,17348,Platinum,2023-02-16,2025-01-08,true,1
35,Mateo,García,mateo.garcía35@email.com,+1 640-504-4854,1967-01-02,Santa Fe,Perú,52877,Bronze,2020-06-07,2022-05-03,true,0
36,Gabriel,González,gabriel.gonzález36@email.com,+1 489-176-3125,1985-03-13,Córdoba,Argentina,92323,Silver,2023-02-16,2024-12-31,true,1
37,Laura,López,laura.lópez37@email.com,+1 699-303-2511,1967-12-04,Tucumán,Chile,39120,Gold,2020-02-15,2024-07-19,true,0
38,Mateo,Sánchez,mateo.sánchez38@email.com,+1 446-476-1660,1979-07-24,Santa Fe,Uruguay,52442,Platinum,2020-11-13,2025-06-16,false,0
39,Camila,González,camila.gonzález39@email.com,+1 500-186-8101,1970-04-25,Salta,Uruguay,94401,Gold,2020-12-28,2023-04-07,false,0
40,Mateo,Rodríguez,mateo.rodríguez40@email.com,+1 666-515-9533,1960-03-15,Rosario,Perú,86491,Gold,2021-07-28,2022-08-15,true,1
41,Pedro,Rodríguez,pedro.rodríguez41@email.com,+1 936-144-6499,1966-11-10,Córdoba,Argentina,42528,Platinum,2022-04-01,2022-10-15,true,1
42,Martín,Ramírez,martín.ramírez42@email.com,+1 273-197-9836,1979-07-29,Mar del Plata,México,14453,Platinum,2020-12-10,2026-01-09,true,1
43,Diego,González,diego.gonzález43@email.com,+1 495-797-8154,1987-09-12,Buenos Aires,Perú,20248,Gold,2023-01-19,2025-06-08,true,0
44,Valentina,Martínez,valentina.martínez44@email.com,+1 572-642-6942,1974-04-26,Salta,Argentina,64028,Silver,2020-08-20,2025-10-31,true,0
45,Martín,García,martín.garcía45@email.com,+1 679-752-8339,2004-12-14,Salta,Perú,98676,Silver,2020-01-29,2020-08-17,true,1
46,Sofía,Sánchez,sofía.sánchez46@email.com,+1 557-420-5541,1993-01-29,Mar del Plata,Argentina,24055,Bronze,2022-03-28,2025-09-10,true,0
47,Pedro,Ramírez,pedro.ramírez47@email.com,+1 922-518-5256,1976-09-28,La Plata,Colombia,93141,Platinum,2024-02-05,2025-01-17,true,1
48,Laura,López,laura.lópez48@email.com,+1 411-845-4125,1997-11-27,Tucumán,Chile,92348,Gold,2024-01-24,2025-08-12,true,0
49,Gabriel,Martínez,gabriel.martínez49@email.com,+1 201-471-9177,1984-08-06,Mar del Plata,Perú,93667,Platinum,2021-06-02,2024-08-10,true,0
50,Lucía,González,lucía.gonzález50@email.com,+1 378-698-3267,1967-09-06,Santa Fe,Chile,56061,Platinum,2022-07-23,2023-01-27,true,0
51,María,Fernández,maría.fernández51@email.com,+1 632-358-3938,2005-07-07,Santa Fe,Uruguay,21019,Gold,2021-12-16,2022-12-03,false,0
52,Carlos,Torres,carlos.torres52@email.com,+1 225-683-5729,1970-02-21,Mar del Plata,Argentina,89946,Platinum,2023-12-01,2024-01-12,true,1
